agent_type,rep_n,train_n,uncertainty
MB,1,199,0.22078845504243294
MF,2,0,1.1
MF,2,1,1.1
MF,2,2,0.6
MF,2,3,0.6
MF,2,4,0.2820789755988283
MF,2,5,0.2820789755988283
MF,2,6,0.22928132414553062
MF,2,7,0.22928132414553062
MF,2,8,0.22928132414553062
MF,2,9,0.22928132414553062
MF,2,10,0.22928132414553062
MF,2,11,0.21377845060930134
MF,2,12,0.22066178729982605
MF,2,13,0.21318083287018313
MF,2,14,0.21318083287018313
MF,2,15,0.208847431754204
MF,2,16,0.2074295511751868
MF,2,17,0.20651682491671064
MF,2,18,0.20610538652705068
MF,2,19,0.2059414427276
MF,2,20,0.20588001347623663
MF,2,21,0.20585780616667088
MF,2,22,0.20584995752931787
MF,2,23,0.20584722480375503
MF,2,24,0.20584628297486837
MF,2,25,0.2058459606659649
MF,2,26,0.20584585091578617
MF,2,27,0.2058458136769831
MF,2,28,0.20584580107378855
MF,2,29,0.20584579681614704
MF,2,30,0.20584579537972647
MF,2,31,0.20584579489558028
MF,2,32,0.20584579473251252
MF,2,33,0.20584579467761677
MF,2,34,0.20584579465916172
MF,2,35,0.205845794652939
MF,2,36,0.2058457946508425
MF,2,37,0.20584579465013653
MF,2,38,0.20584579464989897
MF,2,39,0.20584579464981903
MF,2,40,0.20584579464979214
MF,2,41,0.2058457946497831
MF,2,42,0.20584579464978003
MF,2,43,0.205845794649779
MF,2,44,0.20584579464977867
MF,2,45,0.20584579464977867
MF,2,46,0.20584579464977854
MF,2,47,0.20584579464977848
MF,2,48,0.2058457946497785
MF,2,49,0.2058457946497785
MF,2,50,0.2058457946497785
MF,2,51,0.2058457946497785
MF,2,52,0.2058457946497785
MF,2,53,0.2058457946497785
MF,2,54,0.2058457946497785
MF,2,55,0.2058457946497785
MF,2,56,0.2058457946497785
MF,2,57,0.2058457946497785
MF,2,58,0.2058457946497785
MF,2,59,0.2058457946497785
MF,2,60,0.2058457946497785
MF,2,61,0.2058457946497785
MF,2,62,0.2058457946497785
MF,2,63,0.2058457946497785
MF,2,64,0.2058457946497785
MF,2,65,0.2058457946497785
MF,2,66,0.2058457946497785
MF,2,67,0.2058457946497785
MF,2,68,0.2058457946497785
